DomainName,EnumerantValue,EnumerantDefinition
ZI026_CTUC,8 = Less-than Semi-interval,"The right half-open unbounded interval (-infinity, maximumValue)."
ZI026_CTUC,9 = Less-than or Equal Semi-interval,"The unbounded interval (-infinity, maximumValue]."
,,
ETS,Extraction Specification,
ETS,tpc,MIL-T-89101: Tactical Pilotage Charts (TPC).
ETS,onc,MIL-O-89102: Operational Navigation Charts (ONC).
ETS,jogAirGround,MIL-J-89100: Joint Operations Graphics Series 1501A and 1501 (JOG Air/Ground).
ETS,dted1,MIL-D-89000: Digital Terrain Elevation Data (DTED) Level 1 (1CD).
ETS,dfad1,PS/ICE/200 (MIL-PRF-89005): Digital Feature Analysis Data (DFAD) Level 1.
ETS,dted2,MIL-D-89000: Digital Terrain Elevation Data (DTED) Level 2 (1CF).
ETS,dfad2,PS/ICG/200 (MIL-PRF-89005): Digital Feature Analysis Data (DFAD) Level 1.
ETS,hac1,"MIL-H-89201/1: Harbor, approach, and coastal charts at scales 1:25,000 and larger (HAC 1)."
ETS,hac2,"MIL-H-89201/2: Harbor, approach, and coastal charts at scales 1:25,001 to 1:50,000 (HAC 2)."
ETS,hac3,"MIL-H-89201/3: Harbor, approach, and coastal charts at scales 1:50,001 to 1:100,000 (HAC 3)."
ETS,hac4,"MIL-H-89201/4: Harbor, approach, and coastal charts at scales 1:100,001 to 1:250,000 (HAC 4)."
ETS,hac5,"MIL-H-89201/5: Harbor, approach, and coastal charts at scales 1:250,001 to 1:350,000 (HAC 5)."
ETS,hac6,"MIL-H-89201/6: Harbor, approach, and coastal charts at scales 1:350,001 to 1:600,000 (HAC 6)."
ETS,hac7,"MIL-H-89201/7: Harbor, approach, and coastal charts at scales 1:600,001 to 1:750,000 (HAC 7)."
ETS,hac8,"MIL-H-89201/8: Harbor, approach, and coastal charts at scales 1:750,001 to 1:1,000,000 (HAC 8)."
ETS,hac9,"MIL-H-89201/9: Harbor, approach, and coastal charts at scales 1:1,000,000 and smaller (HAC 9)."
ETS,combat,MIL-C-89202A: Combat Charts.
ETS,tlm50,MIL-T-89301A(1): Topographic Line Map (TLM) 1:50K.
ETS,tlm100,MIL-T-89301A(1): Topographic Line Map (TLM) 1:100K.
ETS,vitd,MIL-PRF-89040A(2): Vector Product Interim Terrain Data (VITD).
ETS,dtop,MIL-PRF-89037A: Digital Topographic Data (DTOP).
ETS,vmap2,MIL-PRF-89032(Draft): Vector Smart Map (VMAP) Level 2.
ETS,vmap0,MIL-PRF-89039(2): Vector Smart Map (VMAP) Level 0.
ETS,vmap1,MIL-PRF-89033(1): Vector Smart Map (VMAP) Level 1.
ETS,uvmap,MIL-PRF-89035A: Urban Vector Map (UVMAP).
ETS,atc,NGA Air Target Chart (ATC).
ETS,jogRadar,NGA Joint Operations Graphic - Radar (JOGR).
ETS,tercomL,NGA Terrain Contour Matching - Landfall (TERCOM L).
ETS,tercomE,NGA Terrain Contour Matching - Enroute/Midcourse (TERCOM E).
ETS,tercomT,NGA Terrain Contour Matching - Terminal (TERCOM T).
ETS,ffd,MIL-PRF-89049(1): Foundation Feature Data.
ETS,digitalFeg,Digital Feature Extraction Guide (DFEG).
ETS,dnc,MIL-PRF-89023(1): Digital Nautical Chart (DNC).
ETS,globalTdsEg,Global Topographic Data Store (RTDS) Extraction Guide (EG).
ETS,localTdsEg,Local Topographic Data Store (LTDS) Extraction Guide (EG).
ETS,mgcpTrd,Multinational Geospatial Co-Production (MGCP) Technical Reference Documentation (TRD).
ETS,msd1,"NGA Mission Specific Data, Level 1 Data Content Specification."
ETS,msd2,"NGA Mission Specific Data, Level 2 Data Content Specification."
ETS,msd3,"NGA Mission Specific Data, Level 3 Data Content Specification."
ETS,msd4,"NGA Mission Specific Data, Level 4 Data Content Specification."
ETS,msd5,"NGA Mission Specific Data, Level 5 Data Content Specification."
ETS,regionalTdsEg,Regional Topographic Data Store (RTDS) Extraction Guide (EG).
ETS,specUrbanTdsEg,Specialized-Urban Topographic Data Store (S-UTDS) Extraction Guide (EG).
ETS,tod0,MIL-PRF-89049/10: Tactical Ocean Data Level 0 (TOD0).
ETS,tod1,MIL-PRF-89049/11: Tactical Ocean Data Level 1 (TOD1).
ETS,tod2,MIL-PRF-89049/12: Tactical Ocean Data Level 2 (TOD2).
ETS,tod3,MIL-PRF-89049/13(Draft): Tactical Ocean Data Level 3 (TOD3).
ETS,tod4,MIL-PRF-89049/14: Tactical Ocean Data Level 4 (TOD4).
,,
ZI001_VSC,Vertical Datum Code,
ZI001_VSC,groundLevel,A continuous surface over dry land and non-tidal waters (for example: lakes).
ZI001_VSC,meanSeaLevel,A continuous surface over the oceans (or its hypothetical extension under the land masses) defined by the mean of sea level surfaces approximated and observed over 19 years.
ZI001_VSC,ngvd29,A fixed reference for elevations derived from a general adjustment in 1929 of the first-order leveling nets of both the United States and Canada.
ZI001_VSC,navd88,"A fixed reference for elevations derived from a general adjustment of the first-order terrestrial levelling nets of the United States, Canada, and Mexico."
ZI001_VSC,wgs84Egm08,The geopotential surface defined by the World Geodetic System (WGS) 1984 EGM08 Earth Gravity Model that is closely associated with the mean ocean surface.
ZI001_VSC,wgs84Egm96,The geopotential surface defined by the World Geodetic System (WGS) 1984 EGM96 Earth Gravity Model that is closely associated with the mean ocean surface.
ZI001_VSC,wgs84,The oblate ellipsoidal figure of the Earth defined by the World Geodetic System (WGS) 1984.
,,
ZI001_SRT,Source Type Code,
ZI001_SRT,ngaAutoAirFacInfoFile,NGA Automated Aeronautical Facilities Information File.
ZI001_SRT,ngaControlledImageBase1,NGA Controlled Imagery Base 1 metre data.
ZI001_SRT,commercial,"A non-military map or chart, in a digital (often proprietary) format, sold commercially and usually accompanied by distribution and/or use restrictions."
ZI001_SRT,ngaDigitalAirFltInfoFile,NGA Digital Aeronautical Flight Information File.
ZI001_SRT,deLormeDigitalAtlasEarth,A DeLorme proprietary global feature data set consisting of a dense seamless topographical map of the world.
ZI001_SRT,ngaDigitalNauticalChart,NGA Digital Nautical Chart.
ZI001_SRT,ngaDigitalVertObstruction,NGA Digital Vertical Obstruction File.
ZI001_SRT,ngaFoundationFeatureData,NGA Foundation Feature Data.
ZI001_SRT,ngaGeoNames,NGA GeoNames.
ZI001_SRT,gpsBasedFieldCollect,GPS-based field-collected open source data.
ZI001_SRT,ikonosImagery,Ikonos imagery of unspecified type and resolution.
ZI001_SRT,imageryUnspecified,Imagery of unspecified type and resolution.
ZI001_SRT,ngaInterimTerrainData,NGA Interim Terrain Data.
ZI001_SRT,ngaInterimVectorData,NGA Interim Vector Data.
ZI001_SRT,usModernizedIntegratedDB,(US) Modernized Integrated Data Base.
ZI001_SRT,militaryMapData,"A military (for example: NGA or defense service) map or chart, whether in hardcopy format or digitally scanned."
ZI001_SRT,navteqData,A NAVTEQ proprietary road and feature information data set used for routing and identification of points of interest.
ZI001_SRT,nonMilitaryMap,A non-military (for example: commercial or personally prepared) map or chart in hardcopy format.
ZI001_SRT,usNtmImagery,Imagery from (US) National Technical Means (NTM).
ZI001_SRT,openSource,"Unclassified published information, whether obtained from digital or hardcopy sources."
ZI001_SRT,operationsData,Mission-specific and/or operational data set prepared by a US Combatant Command.
ZI001_SRT,quickBirdImagery,QuickBird imagery of unspecified type and resolution.
ZI001_SRT,ngaStereoAirfieldCollect,NGA Stereo Airfield Collection.
ZI001_SRT,tomTomData,A TomTom proprietary road and feature data set generally used for routing and identification of points of interest.
ZI001_SRT,ngaUrbanVectorMap,NGA Urban Vector Map.
ZI001_SRT,ngaVectorInterimTerrain,NGA Vector Interim Terrain Data.
ZI001_SRT,ngaVectorMap2,NGA Vector Map Level 2.
,,
VSC,Vertical Source Category,
VSC,-999999 = No Information,"There is no information specified regarding the attribute value.   [Description] Depending on the nature and quality of available source, the state of the data collection/update process, and other conditions, it may not be possible to populate a value due to lack of knowledge. The reasons for the lack of a value may include, but are not limited to, the following: not populated (for example: the data store has been initialized but not yet populated); unknown (for example: an attempt was made to determine the value but the source materials were inadequate); missing (for example: a determination was attempted and despite source materials being adequate the attempt failed); withheld (for example: a determination was successful but for policy reasons the value was not retained/stored)."
VSC,1 = DTED 1,Determined by interpolation of DTED Level 1 (3 arc second) data.
VSC,2 = DTED 2,Determined by interpolation of DTED Level 2 (1 arc second) data.
VSC,3 = No Elevations,No elevation values are present; the data set is two-dimensional.
VSC,4 = Reflective Surface,Determined from analysis of reflective surface data (for example: first return LiDAR or IFSAR).
VSC,5 = Stereoscopic Imagery,Determined by analysis of stereoscopic imagery.
VSC,6 = TIN Data,Determined by interpolation of Triangulated Irregular Network (TIN) data.
VSC,999 = Other,"The attribute value is known, but is not currently a valid member of the attribute range.   [Description] The actual value may have been previously, or may become in the future, a valid member of the attribute range."
,,
HZD,Geodetic Datum,
HZD,worldGeodeticSystem1984,The geodetic datum known as 'World Geodetic System 1984' and intended to be used globally.
HZD,adindanBurkinaFaso,The geodetic datum known as 'Adindan' and intended to be used only in the geographic region of Burkina Faso.
HZD,adindanCameroon,The geodetic datum known as 'Adindan' and intended to be used only in the geographic region of Cameroon.
HZD,adindanEthiopia,The geodetic datum known as 'Adindan' and intended to be used only in the geographic region of Ethiopia.
HZD,adindanMali,The geodetic datum known as 'Adindan' and intended to be used only in the geographic region of Mali.
HZD,adindanMeanValue,The geodetic datum known as 'Adindan' and intended as a mean solution for the geographic region of Ethiopia and Sudan.
HZD,adindanSenegal,The geodetic datum known as 'Adindan' and intended to be used only in the geographic region of Senegal.
HZD,adindanSudan,The geodetic datum known as 'Adindan' and intended to be used only in the geographic region of Sudan.
HZD,afgooyeSomalia,The geodetic datum known as 'Afgooye' and intended to be used only in the geographic region of Somalia.
HZD,ainelAbd1970BahrainIsland,The geodetic datum known as 'Ain el Abd 1970' and intended to be used only in the geographic region of Bahrain Island.
HZD,ainelAbd1970SaudiArabia,The geodetic datum known as 'Ain el Abd 1970' and intended to be used only in the geographic region of Saudi Arabia.
HZD,americanSamoaDatum1962,The geodetic datum known as 'American Samoa Datum 1962' and intended to be used in the geographic region of the American Samoa Islands.
HZD,amersfoort1885dash1903,The geodetic datum known as 'Amersfoort 1885/1903' and intended to be used only in the geographic region of Netherlands.
HZD,anna1Astro1965CocosIslands,The geodetic datum known as 'Anna 1 Astro 1965' and intended to be used only in the geographic region of Cocos Islands.
HZD,antiguaIslandAstro1943,The geodetic datum known as 'Antigua Island Astro 1943' and intended to be used only in the geographic region of Antigua and the Leeward Islands.
HZD,approximateLuzonDatum,The geodetic datum known as 'Approximate Luzon Datum' and intended to be used only in the geographic region of Philippines.
HZD,arc1935Africa,The geodetic datum known as 'Arc 1935' and intended to be used only in the geographic region of Africa.
HZD,arc1950Botswana,The geodetic datum known as 'Arc 1950' and intended to be used only in the geographic region of Botswana.
HZD,arc1950Burundi,The geodetic datum known as 'Arc 1950' and intended to be used only in the geographic region of Burundi.
HZD,arc1950Lesotho,The geodetic datum known as 'Arc 1950' and intended to be used only in the geographic region of Lesotho.
HZD,arc1950Malawi,The geodetic datum known as 'Arc 1950' and intended to be used only in the geographic region of Malawi.
HZD,arc1950MeanValue,"The geodetic datum known as 'Arc 1950' and intended as a mean solution for the geographic region of Botswana, Lesotho, Malawi, Swaziland, Zaire, Zambia and Zimbabwe."
HZD,arc1950Swaziland,The geodetic datum known as 'Arc 1950' and intended to be used only in the geographic region of Swaziland.
HZD,arc1950Zaire,The geodetic datum known as 'Arc 1950' and intended to be used only in the geographic region of Zaire.
HZD,arc1950Zambia,The geodetic datum known as 'Arc 1950' and intended to be used only in the geographic region of Zambia.
HZD,arc1950Zimbabwe,The geodetic datum known as 'Arc 1950' and intended to be used only in the geographic region of Zimbabwe.
HZD,arc1960Kenya,The geodetic datum known as 'Arc 1960' and intended to be used only in the geographic region of Kenya.
HZD,arc1960MeanValue,The geodetic datum known as 'Arc 1960' and intended as a mean solution for the geographic region of Kenya and Tanzania.
HZD,arc1960Tanzania,The geodetic datum known as 'Arc 1960' and intended to be used only in the geographic region of Tanzania.
HZD,ascensionIsland1958,The geodetic datum known as 'Ascension Island 1958' and intended to be used only in the geographic region of Ascension Island.
HZD,astroBeaconEIwoJimaIsland,The geodetic datum known as 'Astro Beacon 'E'' and intended to be used only in the geographic region of Iwo Jima Island.
HZD,astroDos71dash4StHelena,The geodetic datum known as 'Astro DOS 71/4' and intended to be used only in the geographic region of St. Helena Island.
HZD,astroStation1952MarcusIs,The geodetic datum known as 'Astro Station 1952' and intended to be used only in the geographic region of Marcus Island.
HZD,astroTernIsland1961Hawaii,The geodetic datum known as 'Astro Tern Island 1961' and intended to be used only in the geographic region of Tern Island and Hawaii.
HZD,australianGeodetic1966,The geodetic datum known as 'Australian Geod. 1966' and intended to be used only in the geographic region of Australia and Tasmania Island.
HZD,australianGeodetic1984,The geodetic datum known as 'Australian Geod. 1984' and intended to be used only in the geographic region of Australia and Tasmania Island.
HZD,averageTerrestrialSys1977,"The geodetic datum known as 'Average Terrestrial System 1977' and intended to be used only in the geographic region of New Brunswick, Nova Scotia, and Prince Edward Island."
HZD,ayabelleLighthouseDjibouti,The geodetic datum known as 'Ayabelle Lighthouse' and intended to be used only in the geographic region of Djibouti.
HZD,bekaaBaseSouthEndLebanon,The geodetic datum known as 'Bekaa Base South End' and intended to be used only in the geographic region of Lebanon.
HZD,belgium1950SystemLommelSig,"The geodetic datum known as 'Belgium 1950 System' and intended to be used only in the geographic region of Lommel Signal, Belgium."
HZD,belgium1972Observatoire,The geodetic datum known as 'Belgium 1972' and intended to be used only in the geographic region of the Observatoire d'Uccle.
HZD,bellevueIgnEfateErromango,The geodetic datum known as 'Bellevue IGN' and intended to be used only in the geographic region of the Efate and Erromango Islands.
HZD,bermuda1957BermudaIslands,The geodetic datum known as 'Bermuda 1957' and intended to be used only in the geographic region of the Bermuda Islands.
HZD,bern1898Switzerland,The geodetic datum known as 'Bern 1898' and intended to be used only in the geographic region of Switzerland.
HZD,bern1898ZeroMeridian,The geodetic datum known as 'Bern 1898' whose zero meridian is set at Bern and is intended to be used only in the geographic region of Switzerland.
HZD,bissauGuineaBissau,The geodetic datum known as 'Bissau' and intended to be used only in the geographic region of Guinea-Bissau.
HZD,bjz54A954BeijingCoord,The geodetic datum known as 'BJZ54' or 'A954 Beijing Coordinates' and intended to be used only in the geographic region of China.
HZD,bogotaObservatoryColombia,The geodetic datum known as 'Bogota Observatory' and intended to be used only in the geographic region of Colombia.
HZD,bogotaObsZeroMeridian,The geodetic datum known as 'Bogota Observatory' whose zero meridian is set at Bogota and is intended to be used only in the geographic region of Colombia.
HZD,bukitRimpahIndonesia,"The geodetic datum known as 'Bukit Rimpah' and intended to be used only in the geographic region of Bangka and Belitung Islands, Indonesia."
HZD,camacupaBaseSwEndAngola,"The geodetic datum known as 'Camacupa Base SW End' and intended to be used only in the geographic region of Campo De Aviacao, Angola."
HZD,campAreaAstroAntarctica,"The geodetic datum known as 'Camp Area Astro' and intended to be used only in the geographic region of Camp McMurdo Area, Antarctica."
HZD,campoInchauspeArgentina,The geodetic datum known as 'Campo Inchauspe' and intended to be used only in the geographic region of Argentina.
HZD,cantonAstro1966PhoenixIs,The geodetic datum known as 'Canton Astro 1966' and intended to be used only in the geographic region of Phoenix Islands.
HZD,capeSouthAfrica,The geodetic datum known as 'Cape' and intended to be used only in the geographic region of South Africa.
HZD,capeCanaveralMeanValue,The geodetic datum known as 'Cape Canaveral' and intended as a mean solution for the geographic region of Florida and the Bahama Islands.
HZD,carthageTunisia,The geodetic datum known as 'Carthage' and intended to be used only in the geographic region of Tunisia.
HZD,chatham1971NewZealand,"The geodetic datum known as 'Chatham 1971' and intended to be used only in the geographic region of Chatham Island, New Zealand."
HZD,chuaAstroParaguay,The geodetic datum known as 'Chua Astro' and intended to be used only in the geographic region of Paraguay.
HZD,compensationGeoQuebec1977,The geodetic datum known as 'Compensation Geodetique du Quebec 1977' and whose geographic region of intended use is not specified.
HZD,conakryPyramidGuinea,The geodetic datum known as 'Conakry Pyramid of the Service Geographique' and intended to be used only in the geographic region of Guinea.
HZD,estonia1937,The geodetic datum known as 'Co-ordinate System 1937 of Estonia' and intended to be used only in the geographic region of Estonia.
HZD,corregoAlegreBrazil,The geodetic datum known as 'Corrego Alegre' and intended to be used only in the geographic region of Brazil.
HZD,dabolaGuinea,The geodetic datum known as 'Dabola' and intended to be used only in the geographic region of Guinea.
HZD,dcs3LighthouseLesserAnt,"The geodetic datum known as 'DCS-3 Lighthouse, Saint Lucia, Lesser Antilles' and whose geographic region of intended use is not specified."
HZD,deceptionIslAntarctica,"The geodetic datum known as 'Deception Island' or 'Deception 1993' and intended to be used only in the geographic region of Deception Island, Antarctica."
HZD,djakartaBataviaIndonesia,"The geodetic datum known as 'Djakarta (Batavia)' and intended to be used only in the geographic region of Sumatra Island, Indonesia."
HZD,djakartaBataviaZeroMerid,"The geodetic datum known as 'Djakarta (Batavia)' whose zero meridian is set at Djakarta and is intended to be used only in the geographic region of Sumatra Island, Indonesia."
HZD,dominicaAstroM12LesserAnt,"The geodetic datum known as 'Dominica Astro M-12, Dominica, Lesser Antilles' and whose geographic region of intended use is not specified."
HZD,dos1968GizoNewGeorgiaIs,The geodetic datum known as 'DOS 1968' and intended to be used only in the geographic region of Gizo Island and the New Georgia Islands.
HZD,easterIsland1967EasterIs,The geodetic datum known as 'Easter Island 1967' and intended to be used only in the geographic region of Easter Island.
HZD,european1950BritishIsles,"The geodetic datum known as 'European 1950' and intended to be used only in the geographic region of the British Isles to specifically encompass England, the Channel Islands, Ireland, Northern Ireland, Scotland, the Shetland Islands, and Wales."
HZD,european1950Cyprus,The geodetic datum known as 'European 1950' and intended to be used only in the geographic region of Cyprus.
HZD,european1950Egypt,The geodetic datum known as 'European 1950' and intended to be used only in the geographic region of Egypt.
HZD,european1950England,"The geodetic datum known as 'European 1950' and intended to be used only in the geographic region of England, Channel Islands, Scotland, and Shetland Islands."
HZD,european1950Greece,The geodetic datum known as 'European 1950' and intended to be used only in the geographic region of Greece.
HZD,european1950Iran,The geodetic datum known as 'European 1950' and intended to be used only in the geographic region of Iran.
HZD,european1950IraqSyria,"The geodetic datum known as 'European 1950' and intended to be used only in the geographic region of Iraq, Israel, Jordan, Kuwait, Lebanon, Saudi Arabia, and Syria."
HZD,european1950Malta,The geodetic datum known as 'European 1950' and intended to be used only in the geographic region of Malta.
HZD,european1950MeanValue,"The geodetic datum known as 'European 1950' and intended as a mean solution for the geographic region of Austria, Belgium, Denmark, Finland, France, Federal Republic of Germany, Gibraltar, Greece, Italy, Luxembourg, Netherlands, Norway, Portugal, Spain, S"
HZD,european1950NorwayFinland,The geodetic datum known as 'European 1950' and intended to be used only in the geographic region of Norway and Finland.
HZD,european1950PortugalSpain,The geodetic datum known as 'European 1950' and intended to be used only in the geographic region of Portugal and Spain.
HZD,european1950Sardinia,The geodetic datum known as 'European 1950' and intended to be used only in the geographic region of Sardinia.
HZD,european1950Sicily,The geodetic datum known as 'European 1950' and intended to be used only in the geographic region of Sicily.
HZD,european1950Tunisia,The geodetic datum known as 'European 1950' and intended to be used only in the geographic region of Tunisia.
HZD,european1950WesternEurope,"The geodetic datum known as 'European 1950' and intended as a mean solution for a geographic region of Western Europe encompassing Austria, Denmark, France, Federal Republic of Germany, Netherlands, and Switzerland."
HZD,european1979MeanValue,"The geodetic datum known as 'European 1979' and intended as a mean solution for the geographic region of Austria, Finland, Netherlands, Norway, Spain, Sweden, and Switzerland."
HZD,etrs1989,The geodetic datum known as 'European Terrestrial Reference System 1989' and intended to be used only in the geographic region of ETRS89.
HZD,fortThomas1955LeewardIs,"The geodetic datum known as 'Fort Thomas 1955' and intended to be used only in the geographic region of Nevis, St Kitts, and the Leeward Islands."
HZD,gan1970AdduAtoll,"The geodetic datum known as 'Gan 1970' and intended to be used only in the geographic region of Addu Atoll, Republic of Maldives."
HZD,gandajikaBaseZaire,The geodetic datum known as 'Gandajika Base' and intended to be used only in the geographic region of Zaire.
HZD,gdz80China,The geodetic datum known as 'GDZ80' and intended to be used only in the geographic region of China.
HZD,geocentricDatumOfAustralia,The geodetic datum known as 'Geocentric Datum of Australia' or 'GDA' and intended to be used only in the geographic region of Australia.
HZD,geodeticDatum1949Zealand,The geodetic datum known as 'Geodetic Datum 1949' and intended to be used only in the geographic region of New Zealand.
HZD,graciosaBaseSWFaialAzores,"The geodetic datum known as 'Graciosa Base SW' and intended to be used only in the geographic region of Faial, Graciosa, Pico, Sao Jorge, and Terceira Island, Azores."
HZD,greekDatumGreece,"The geodetic datum known as 'Greek Datum, Greece' and whose geographic region of intended use is not specified."
HZD,greekGeodeticRefSystem1987,The geodetic datum known as 'Greek Geodetic Reference System 1987' or 'GGRS 87' and whose geographic region of intended use is not specified.
HZD,guam1963,The geodetic datum known as 'Guam 1963' and intended to be used only in the geographic region of Guam.
HZD,gunongSegaraKalimantanIs,"The geodetic datum known as 'Gunong Segara' and intended to be used only in the geographic region of Kalimantan Island, Indonesia."
HZD,gunongSerindung,The geodetic datum known as 'Gunong Serindung' and whose geographic region of intended use is not specified.
HZD,gux1AstroGuadacanalIs,The geodetic datum known as 'GUX 1 Astro' and intended to be used only in the geographic region of Guadacanal Island.
HZD,guyanaCSG67,The geodetic datum known as 'Guyana CSG76' and whose geographic region of intended use is not specified.
HZD,heratNorthAfganistan,The geodetic datum known as 'Herat North' and intended to be used only in the geographic region of Afganistan.
HZD,hermannskogel,"The geodetic datum known as 'Hermannskogel' and intended to be used only in the geographic region of Yugoslavia (prior to 1990), Slovenia, Croatia, Bosnia and Herzegovina, and Serbia."
HZD,hjorsey1955Iceland,The geodetic datum known as 'Hjorsey 1955' and intended to be used only in the geographic region of Iceland.
HZD,hongKong1929,The geodetic datum known as 'Hong Kong 1929' and whose geographic region of intended use is not specified.
HZD,hongKong1963HongKong,The geodetic datum known as 'Hong Kong 1963' and intended to be used only in the geographic region of Hong Kong.
HZD,hungarian1972,The geodetic datum known as 'Hungarian 1972' and whose geographic region of intended use is not specified.
HZD,huTzuShan,The geodetic datum known as 'Hu-Tzu-Shan' and intended to be used only in the geographic region of Taiwan.
HZD,indianBangladesh,The geodetic datum known as 'Indian' and intended to be used only in the geographic region of Bangladesh.
HZD,indianIndiaNepal,The geodetic datum known as 'Indian' and intended to be used only in the geographic region of India and Nepal.
HZD,indianPakistan,The geodetic datum known as 'Indian' and intended to be used only in the geographic region of Pakistan.
HZD,indianThailandVietnam,The geodetic datum known as 'Indian' and intended to be used only in the geographic region of Thailand and Vietnam.
HZD,indian1954Thailand,The geodetic datum known as 'Indian 1954' and intended to be used only in the geographic region of Thailand.
HZD,indian1960ConSonIsland,The geodetic datum known as 'Indian 1960 (Con Son Island)' and intended to be used only in the geographic region of Con Son Island (Vietnam).
HZD,indian1960Vietnam,The geodetic datum known as 'Indian 1960' and intended to be used only in the geographic region of Vietnam near 16 degrees North.
HZD,indian1975Thailand,The geodetic datum known as 'Indian 1975' and intended to be used only in the geographic region of Thailand.
HZD,indian1975ThailandCycle1,The geodetic datum known as 'Indian 1975 - Cycle 1' and intended to be used only in the geographic region of Thailand.
HZD,indonesian1974,The geodetic datum known as 'Indonesian 1974' and intended to be used only in the geographic region of Indonesia.
HZD,ireland1965IrelandNorthern,The geodetic datum known as 'Ireland 1965' and intended to be used only in the geographic region of Ireland and Northern Ireland.
HZD,ists061Astro1968GeorgiaIs,The geodetic datum known as 'ISTS 061 Astro 1968' and intended to be used only in the geographic region of the South Georgia Islands.
HZD,ists073Astro1969DiegoGar,The geodetic datum known as 'ISTS 073 Astro 1969' and intended to be used only in the geographic region of Diego Garcia.
